x,y
570589.6000,7035377.9900
570590.1400,7035379.2900
570590.7100,7035380.6000
570591.2400,7035381.8600
570591.7400,7035383.0800
570592.2400,7035384.2600
570592.7100,7035385.4100
570593.2100,7035386.5600
570593.6600,7035387.6700
570594.1700,7035388.9200
570594.5800,7035389.9500
570594.9800,7035390.9700
570595.3800,7035392.0300
570595.7700,7035393.0300
570596.1600,7035394.0200
570596.5500,7035395.0200
570596.9400,7035395.9900
570597.3600,7035396.9900
570597.7400,7035397.9300
570598.1200,7035398.8400
570598.4800,7035399.7200
570598.8300,7035400.5800
570599.1800,7035401.4000
570599.5200,7035402.2100
570599.8500,7035403.0100
570600.1800,7035403.7700
570600.5500,7035404.6500
570600.8700,7035405.4300
570601.1800,7035406.1500
570601.4800,7035406.8500
570601.7700,7035407.5500
570602.0500,7035408.2600
570602.3200,7035409.0200
570602.5400,7035409.7800
570602.7300,7035410.5600
570602.8800,7035411.3800
570602.9900,7035412.2400
570603.0900,7035413.1400
570603.1000,7035414.0600
570603.0500,7035414.9700
570602.9500,7035415.9000
570602.7800,7035416.8400
570602.5900,7035417.7600
570602.2100,7035418.8200
570601.7800,7035419.7100
570601.2600,7035420.5700
570600.6300,7035421.3900
570599.9400,7035422.2000
570599.1200,7035422.9200
570598.0600,7035423.6800
570597.0800,7035424.2600
570596.2200,7035424.7100
570595.2400,7035425.2900
570593.9800,7035425.8500
570592.9000,7035426.3300
570591.8000,7035426.8100
570590.7000,7035427.2900
570589.4500,7035427.7400
570588.3100,7035428.2300
570587.1600,7035428.7000
570586.0000,7035429.1600
570584.8300,7035429.6100
570583.6900,7035429.9500
570582.5000,7035430.3200
570581.3000,7035430.6500
570580.0800,7035430.9600
570578.8600,7035431.2400
570577.3900,7035431.5800
570576.1600,7035431.8600
570574.9400,7035432.1700
570573.7300,7035432.5000
570572.5200,7035432.8400
570571.2900,7035433.1600
570570.0900,7035433.5500
570568.9000,7035433.9400
570567.7200,7035434.3600
570566.5500,7035434.8100
570565.3400,7035435.1700
570564.1700,7035435.6400
570563.0300,7035436.1500
570561.9000,7035436.7000
570560.7800,7035437.3000
570559.4600,7035437.9500
570558.5600,7035438.5100
570557.3200,7035439.2900
570556.2600,7035440.0000
570555.2100,7035440.7100
570554.1600,7035441.3400
570553.1000,7035442.0300
570552.0400,7035442.7100
570550.9700,7035443.3600
570549.8900,7035443.9900
570548.8000,7035444.6200
570547.7200,7035445.2100
570546.6400,7035445.7900
570545.5600,7035446.3500
570544.4900,7035446.8900
570543.4300,7035447.4400
570542.3700,7035447.9700
570541.1600,7035448.5600
570540.1300,7035449.0500
570539.1100,7035449.5300
570538.0300,7035450.0700
570536.9800,7035450.4900
570535.9200,7035450.8600
570534.8600,7035451.1300
570533.8100,7035451.3100
570532.7800,7035451.4500
570531.7000,7035451.4200
570530.6400,7035451.2800
570529.5900,7035451.0100
570528.5900,7035450.6200
570527.6600,7035450.2400
570526.7700,7035449.6400
570525.9500,7035448.9400
570525.1900,7035448.1600
570524.4000,7035447.1500
570523.7500,7035446.2800
570523.2000,7035445.3200
570522.7000,7035444.3500
570522.2400,7035443.3600
570521.8100,7035442.3900
570521.4400,7035441.3900
570521.1000,7035440.5700
570520.8100,7035439.8500
570520.5600,7035439.2500
570520.3700,7035438.7800
570520.2400,7035438.2900
570520.0300,7035437.7600
