scenario,mean_solve_ms,median_solve_ms,p95_solve_ms,max_solve_ms,max_ipopt_iter,hard_failures,soft_warnings,num_samples,real_time
NMPC reference,0.003969676378700469,0.003833761904388666,0.00474141170270741,0.0088674146682024,nan,0,0,180,Yes
Speed sensitivity,0.00568498836713843,0.003791317343711853,0.008338492549955842,0.5265939580276608,408.0,5,0,1600,No/limited
Tire-model mismatch,0.004179979338207179,0.004098806530237198,0.005175276240333914,0.009659044444561005,7.0,0,0,720,Yes
Parameter sensitivity,0.004034478534343436,0.0038085156120359898,0.004890052694827318,0.009024674072861671,8.0,0,0,902,Yes
