experiment,group,path_name,path_type,synthetic_path,vegsystemreferanse,kommune,path_length_m,num_waypoints,path_max_abs_kappa,path_mean_abs_kappa,ctrl_model,plant_model,mu_ctrl,mu_plant,stiffness_scale_ctrl,stiffness_scale_plant,vx_nominal,vx_min,vx_max,ay_max,N,dt,sim_time,failed,error,rms_ey_m,max_abs_ey_m,p95_abs_ey_m,iae_ey_m_s,rms_epsi_deg,max_abs_epsi_deg,iae_epsi_rad_s,iae_epsi_deg_s,max_abs_delta_deg,rms_delta_deg,max_abs_ddelta_deg_s,rms_ddelta_deg_s,iadc_rad,iadc_deg,mean_cnxte,p95_cnxte,max_cnxte,mean_abs_kappa,max_abs_kappa,mean_vx_m_s,min_vx_m_s,max_vx_m_s,duration_s,progress_m,completion_pct,avg_solve_ms,max_solve_ms,avg_ipopt_iter,max_ipopt_iter,hard_failures,soft_warnings,max_abs_vy_m_s,max_abs_r_rad_s,mean_ay_demand_m_s2,max_ay_demand_m_s2,mu_g_plant_m_s2,max_ay_over_mu_g,wall_time_s
verification_straight_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_straight,synthetic,straight,KV1253,3201,120.0,13,0.0,0.0,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006424587906422656,0.03939334234940393,0.004822797229555963,0.02338257118371749,0.22233666968793078,1.928543182853571,0.012205674365724773,0.6993336272670475,2.262875854838468,0.3289068888615479,16.726499636032322,1.5982261529204997,0.0784483046192352,4.494756764638818,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,16.7,117.59965441555958,97.99971201296631,4.973122811255355,7.094847969710827,4.630952380952381,5,0,0,0.10462770752590175,0.09230054098495113,0.0,0.0,7.848000000000001,0.0,1.2841561045497656
verification_constant_radius_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_constant_radius,synthetic,constant_radius,KV1253,3201,54.96221575092156,20,0.0360232533502601,0.027430206951959628,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012581404924893494,0.04924445592138045,0.03755308412412623,0.03898317163605506,1.914958856313701,2.7317252110434005,0.2440586493954038,13.98353056401972,5.090234855686968,4.429946662461002,11.797068819698548,2.9851718450388534,0.13677310517197078,7.836521677252857,0.00015426473522978676,0.0009009623547181059,0.0016776707616290003,0.028468715490755248,0.035038036254792744,6.978254150454841,6.544406237013291,7.0,7.4,52.367543859352985,95.27917159794441,3.9190262059370675,5.090547725558281,3.013333333333333,4,0,0,0.2584911219100214,0.22371643059669,1.3852274805314122,1.6615001685080082,7.848000000000001,0.2117100112777788,0.4800340849906206
verification_mild_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_mild,synthetic,mild,KV1253,3201,122.48238558408362,9,0.017801700057384892,0.011796985119802181,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006429918748160671,0.03934718155209706,0.004466603856859734,0.03834980369869527,0.8977165823840916,1.929275791578882,0.24767393408905436,14.190671118704142,2.8056270051826715,2.0993330812170177,16.555028896058452,2.0229907386670822,0.32379019680814114,18.551811724816787,1.4948945798185616e-05,4.300705844794733e-05,0.000122383966041995,0.012091961021079347,0.01779260212499522,7.0,7.0,7.0,17.0,119.71391967478783,97.73970281841446,3.8627172705897115,4.782292060554028,3.0292397660818713,4,0,0,0.14368375024658958,0.12386517254494295,0.5925060900328879,0.8718375041247658,7.848000000000001,0.11109040572435852,0.8700312850996852
geometry_mild_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_mild,synthetic,mild,KV1253,3201,122.48238558408362,9,0.017801700057384892,0.011796985119802181,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006453878368301785,0.039501545249145245,0.004495535734801459,0.038525452257122776,0.8973057475410248,1.9292986358561661,0.2475689245051585,14.184654512738485,2.8054447621485807,2.0993994226388555,16.555028896058452,2.0249430533191166,0.323979454895736,18.562655414474687,1.5058370176458174e-05,4.2817023847798756e-05,0.00012297000392548328,0.012091967193198438,0.01779259944136399,7.0,7.0,7.0,17.0,119.71386269464907,97.73965629732615,3.8219469909866652,4.959674552083015,3.0292397660818713,4,0,0,0.14356276238752297,0.12386771787939098,0.5925063924667235,0.8718373726268355,7.848000000000001,0.11109038896876088,0.8576243855059147
geometry_sharp_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_sharp,synthetic,sharp,KV1253,3201,123.48566002864902,10,0.1406654429257711,0.031104834029031112,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012677729257440226,0.045264961586506516,0.03545267405368982,0.14472539735930043,3.8020034682390276,10.754446470486926,0.9506889786141723,54.470466104195054,19.589054479318342,7.719809986043778,26.734403662685487,6.044618720718212,1.4139850728300378,81.01537696765949,0.00048334390707226085,0.003473127457372078,0.006140919000599119,0.03803670408260664,0.1404241950644856,6.143727160727751,3.2683231514735347,7.0,19.5,120.62360754819747,97.68227948104456,7.415880786483081,108.15464239567518,6.357142857142857,99,0,0,0.5556752129728996,0.47397395337713977,1.0748822171099166,1.7367373713580823,7.848000000000001,0.2212968108254437,1.659678265452385
geometry_s_curve_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_s_curve,synthetic,s_curve,KV1253,3201,132.2117814289874,9,0.097189418125541,0.025800280309202457,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.007645553440678355,0.03925580428946886,0.011741034454195035,0.10064662276898108,3.0286649099161562,6.634335791828996,0.7967714096074257,45.65163900719486,13.697935689148512,6.42165501163764,18.56971633560941,4.698463392625924,1.3282930788323868,76.10558737353371,0.00017631875770105054,0.0007011669565252106,0.0008538012320498619,0.030996392543922672,0.09711718573070233,6.2755587472487875,3.9300804999988106,7.0,20.5,129.42276136371603,97.89049051822256,5.219532647034497,154.76216096431017,4.271844660194175,181,0,0,0.46198813946656403,0.33569604953614424,0.9263133738691697,1.717976121707303,7.848000000000001,0.21890623365281636,1.3072203947231174
geometry_KV1253_dugoff_pacejka_v7_mu08,geometry,NVDB_KV1253,nvdb,,KV1253,3201,304.63977570665634,61,0.053820836975098825,0.007269112051653409,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.01055154207226753,0.04165673974572171,0.0250077819211253,0.2877341335929105,0.6540651143458824,2.6190255514895076,0.3305941308354592,18.94164842866756,6.424817385564278,1.1648556213076597,31.906766058307905,3.5484312435649743,1.6925318125472844,96.97492955058678,0.00010294300031061383,0.000614574289614181,0.0017587726394929226,0.007452934787101996,0.05184382485096977,6.970613237177516,5.390164695739753,7.0,43.2,301.85631057428844,99.0863093547416,3.9457115032828436,6.233871914446354,3.0184757505773674,5,0,0,0.29259012726946615,0.23244492540159395,0.3512697059563622,2.173829251723565,7.848000000000001,0.2769914948679364,2.18674751278013
geometry_KV1167_dugoff_pacejka_v7_mu08,geometry,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8228358081367575,7.20930565148592,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.2648821575567126
tiremodel_KV1167_linear_linear_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,linear,linear,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012158865629156312,0.055134648933240715,0.02862897255387572,0.5834562123770893,1.1029520062442761,5.01648637878983,1.002824500545571,57.45761147357594,10.31941272132837,2.3341160836390773,22.5137455079138,4.140411112423648,3.7919411633781386,217.2622248234947,0.00015888155675442488,0.000882051417828878,0.0023502400570578337,0.0127407289639913,0.08725842921017533,6.907586481470978,4.146568971232971,7.0,72.0,498.1628650183597,99.53850170099298,3.2559159120103027,4.593207500874996,3.027739251040222,4,0,0,0.5506146699835316,0.447456431144565,0.5626678000301089,2.2892258650984734,7.848000000000001,0.29169544662314895,2.588197186589241
tiremodel_KV1167_dugoff_dugoff_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012370032375787076,0.0551338579546791,0.02849432115669952,0.5944947885288381,1.1675114515242593,5.65639650257128,1.0199631744207074,58.43958515307238,11.729220259522878,2.408015180071388,20.249920987533766,4.084197650173965,3.8262935484187173,219.23047150252822,0.0001616130156125264,0.0008794483118081831,0.00230862872697201,0.012740748916908658,0.08726168282603751,6.90759625404598,4.146489438819523,7.0,72.0,498.167039794677,99.53933586790654,3.8963379260881106,7.221038453280926,3.030513176144244,6,0,0,0.42125821744135744,0.3152357900957846,0.5626807462989636,2.2805617555627804,7.848000000000001,0.29059145713083334,3.1576516842469573
