scenario,controller,plant,path,vx_nominal_m_s,initial_cross_track_error_m,initial_heading_error_deg,path_length_m,max_abs_kappa_1_m,dt_s,N,tire_model_ctrl,tire_model_plant,mu_ctrl,mu_plant,stiffness_scale_ctrl,stiffness_scale_plant,rms_ey_m,max_abs_ey_m,p95_abs_ey_m,iae_ey_m_s,rms_epsi_deg,max_abs_epsi_deg,iae_epsi_rad_s,iae_epsi_deg_s,max_abs_delta_deg,rms_delta_deg,max_abs_ddelta_deg_s,rms_ddelta_deg_s,iadc_rad,iadc_deg,cnxte,mean_abs_kappa,max_abs_kappa,mean_vx_m_s,min_vx_m_s,max_vx_m_s,duration_s,progress_m,completion_pct,avg_solve_ms,max_solve_ms,avg_ipopt_iter,max_ipopt_iter,hard_failures,soft_warnings
nmpc_dugoff_speed_2ms,NMPC Dugoff,Dugoff tire model,sharp,2.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.13336469665454947,1.0346300959688546,0.017323665315713294,1.601655037939485,3.2246104429014872,18.024994434828464,2.1418708430307745,122.72015956779101,30.000000572189183,6.250825647601274,90.0000008999784,8.904590409603523,2.6582815346364894,152.3083126922304,0.01247042822863602,0.023301277252403586,0.1340623522381559,2.0,2.0,2.0,62.7,125.6186979295403,97.69330424165815,4.93799152228838,314.19450137764215,4.017628205128205,261.0,4,0
nmpc_dugoff_speed_3ms,NMPC Dugoff,Dugoff tire model,sharp,3.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.11304034965739465,1.0077924665606743,0.024255975457795793,0.8680632620036299,3.3589084642807268,14.674720668337883,1.6805232739169556,96.28689096894914,25.99840199865639,6.0939621233170325,90.00000089997046,10.18068375016514,2.651037531739738,151.893261899466,0.0065292733470466826,0.02327759988082308,0.13412451559802627,3.0,3.0,3.0,41.800000000000004,125.71288411270704,97.76655256853248,8.752496082014872,526.5939580276608,7.478468899521531,408.0,1,0
nmpc_dugoff_speed_5ms,NMPC Dugoff,Dugoff tire model,sharp,5.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.1345144015486672,1.009841236740663,0.03327623015320035,0.6609377961457213,3.309373163535975,12.801823200159431,0.9645382312752075,55.2639698310827,18.791721392039488,5.983863253659531,90.00000072898472,11.075129911392915,1.989767126832263,114.00525858136065,0.004704789712740235,0.023217561210952267,0.13371990733657638,5.0,5.0,5.0,25.1,126.04971568019751,98.02850552094642,4.3587326515643365,17.86631904542446,3.5634920634920637,15,0,0
nmpc_dugoff_speed_7ms,NMPC Dugoff,Dugoff tire model,sharp,7.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.15688414550759555,1.0147187097863974,0.05065309140392278,0.6110799293361691,2.987731934478467,11.477310483198924,0.6216026837679101,35.61521031390641,19.1907426274119,6.041139461252889,89.99999564437383,11.94421228277006,1.7802141193281957,101.99875566710433,0.004820211572586844,0.02323440925944439,0.1333531208463453,7.0,7.0,7.0,17.900000000000002,126.02000303672874,98.0053980825948,3.837676279039847,7.580438628792763,3.1166666666666667,7,0,0
nmpc_dugoff_speed_10ms,NMPC Dugoff,Dugoff tire model,sharp,10.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.30524323656127345,1.0242391820851453,0.8890611941146533,1.695203671235769,4.13740055791091,14.954079282357668,0.5415500316391816,31.028531208101302,19.69426985656194,8.186608384579174,90.0000008922469,16.621619494069897,1.941646304915333,111.24813857881993,0.038648922992038426,0.02319774079773406,0.1321336643207199,10.0,10.0,10.0,12.5,125.83715105560917,97.86319461673239,4.499594895316968,31.340807676315308,3.7063492063492065,27,0,0
