scenario,case_label,controller,plant,path,vx_nominal_m_s,initial_cross_track_error_m,initial_heading_error_deg,path_length_m,max_abs_kappa_1_m,dt_s,N,tire_model_ctrl,tire_model_plant,mu_ctrl,mu_plant,stiffness_scale_ctrl,stiffness_scale_plant,rms_ey_m,max_abs_ey_m,p95_abs_ey_m,iae_ey_m_s,rms_epsi_deg,max_abs_epsi_deg,iae_epsi_rad_s,iae_epsi_deg_s,max_abs_delta_deg,rms_delta_deg,max_abs_ddelta_deg_s,rms_ddelta_deg_s,iadc_rad,iadc_deg,cnxte,mean_abs_kappa,max_abs_kappa,mean_vx_m_s,min_vx_m_s,max_vx_m_s,duration_s,progress_m,completion_pct,avg_solve_ms,max_solve_ms,avg_ipopt_iter,max_ipopt_iter,hard_failures,soft_warnings,max_abs_alpha_f_deg,max_abs_alpha_r_deg,max_abs_Fyf_N,max_abs_Fyr_N
tire_mismatch_linear_ctrl_linear_plant,Linear/Linear,NMPC Linear,Linear tire model,sharp,7.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,linear,linear,0.8,0.8,1.0,1.0,0.14317601863785803,1.0144158101026342,0.04714113977625319,0.5326323541380421,3.054626481675914,12.007713956945707,0.6278407462534027,35.97262496666403,18.081753192339782,5.936245889093209,89.99999909971827,13.509225724309452,1.8541250942739076,106.23354259119078,0.004688356579024312,0.023230083091585967,0.1333542685058067,7.0,7.0,7.0,17.900000000000002,126.02371012159367,98.00828107195488,3.378516621887684,9.505437687039375,3.111111111111111,6,0,0,5.4686733120532125,2.1855961252772476,11930.794376408981,4501.210123580376
tire_mismatch_dugoff_ctrl_dugoff_plant,Dugoff/Dugoff,NMPC Dugoff,Dugoff tire model,sharp,7.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,dugoff,0.8,0.8,1.0,1.0,0.15688414550759555,1.0147187097863974,0.05065309140392278,0.6110799293361691,2.987731934478467,11.477310483198924,0.6216026837679101,35.61521031390641,19.1907426274119,6.041139461252889,89.99999564437383,11.94421228277006,1.7802141193281957,101.99875566710433,0.004820211572586844,0.02323440925944439,0.1333531208463453,7.0,7.0,7.0,17.900000000000002,126.02000303672874,98.0053980825948,4.0022402794824705,7.650668732821941,3.1166666666666667,7,0,0,6.333802912720653,2.609934507879623,6525.457625042999,4428.328669898726
tire_mismatch_linear_ctrl_pacejka_plant,Linear/Pacejka,NMPC Linear,Pacejka tire model,sharp,7.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,linear,pacejka,0.8,0.8,1.0,1.0,0.15043684586956188,1.0146721127223768,0.05395459898871859,0.5674540997491028,3.036052429596759,11.98366889148708,0.622886588030692,35.68877260946267,18.511780796111548,6.041644204818149,89.99999909971827,13.697428945138999,1.877102599089005,107.55005664083738,0.003898202823919106,0.02324358613431302,0.13336755060056957,7.0,7.0,7.0,17.900000000000002,126.00493235725907,97.99367765801767,3.420125672386752,5.7413531467318535,3.1222222222222222,6,0,0,8.783992319430787,2.522449381966304,7522.419320264944,4643.948405561989
tire_mismatch_dugoff_ctrl_pacejka_plant,Dugoff/Pacejka,NMPC Dugoff,Pacejka tire model,sharp,7.0,1.0,2.0,128.5847570666714,0.13424823343503176,0.1,18,dugoff,pacejka,0.8,0.8,1.0,1.0,0.15330010050400728,1.0146721130698497,0.06158648927819325,0.6146900345798457,2.989505266749046,11.609565280598865,0.6218131008441561,35.62726632431279,18.01105068002125,5.904943231358666,89.99999564437383,11.873459364005022,1.743781298323946,99.91130878780524,0.007032866317377321,0.023222897569511163,0.1333518493488236,7.0,7.0,7.0,17.900000000000002,126.03321507455314,98.01567304684856,4.221008045391904,8.026115596294403,3.1166666666666667,7,0,0,5.28340769434774,2.428404004428031,7352.930710519249,4520.236660676095
